"appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Pandora Music","Play new music &amp; podcasts for free and personalize your streaming experience!","100,000,000+",100000000,4.4167395,3039317,731229,true,true,"Varies with device","Varies with device","Pandora","MUSIC_AND_AUDIO",,"Teen",true,,1553035023000,"Varies with device","Podcasts on Pandora have arrived: <br>•  Discover your new favorite podcast or start with one from our curators.<br>•  Enjoy personalized recommendations based on your listening history.<br>•  Search and play over 100,000+ podcast episodes, with more being added every day.","com.pandora.android","https://play.google.com/store/apps/details?id=com.pandora.android&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Spotify - Music and Podcasts","Spotify gives you instant access to millions of songs and podcasts.","100,000,000+",100000000,4.569076,14549370,4384295,true,false,"Varies with device","Varies with device","Spotify+Ltd.","MUSIC_AND_AUDIO",,"Teen",true,"May 27, 2014",1552653048000,"Varies with device","We’re always making changes and improvements to Spotify. To make sure you don’t miss a thing, just keep your Updates turned on.","com.spotify.music","https://play.google.com/store/apps/details?id=com.spotify.music&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"YouTube Music - Stream Songs & Music Videos","The official YouTube app built just for music.","100,000,000+",100000000,4.103822,520688,184419,true,false,"Varies with device","Varies with device","5700313618786177705","MUSIC_AND_AUDIO",,"Teen",true,"Nov 12, 2015",1553106694000,"Varies with device","YouTube Music has been completely redesigned. Quickly find the music you’re looking for and get music served to you based on what’s right for the moment you’re in. Want to listen without interruptions? Get 1 free month of Music Premium to listen ad-free, offline, and with your screen locked.","com.google.android.apps.youtube.music","https://play.google.com/store/apps/details?id=com.google.android.apps.youtube.music&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Free Music Player – Online & Offline MP3 Player","The best free Android music player! Listen to online &amp; offline music!","1,000,000+",1000000,3.9457633,14068,7646,true,false,"7.8M","4.0.3 and up","AURORA+STUDIO","MUSIC_AND_AUDIO",,"Teen",true,"Feb 5, 2018",1551683674000,"1.7.2","--Add &quot;Feedback&quot; feature. If you didn&#39;t find the music you want to listen to, please fill in the Feedback form<br>-Fixed some minor bugs","com.aurora.music","https://play.google.com/store/apps/details?id=com.aurora.music&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Drum Pad Machine - Make Beats","Be a true rapper and create beats music. This dj app is a perfect music mixer","10,000,000+",10000000,4.460974,259266,101463,true,true,"27M","4.1 and up","7473634688510685864","MUSIC_AND_AUDIO",,"Everyone",true,"Aug 31, 2014",1551719801000,"2.0.308","- Redesigned Drum Pad Machine focused on simplicity! We completely reconsidered and rebuilt the app to make it sleek and easy-to-use, even if you have no experience with beat maker apps<br>- We improved Beat School to make the learning process even easier! Unique lessons allow everyone feels like a professional beat maker<br>- Performance and stability improvements<br><br>Be a beat maker with Drum Pad Machine!","com.agminstruments.drumpadmachine","https://play.google.com/store/apps/details?id=com.agminstruments.drumpadmachine&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"iHeartRadio - Free Music, Radio & Podcasts","Your Music. Your Stations. Your Podcasts. All Free.","50,000,000+",50000000,4.6612444,1993985,609096,true,true,"Varies with device","Varies with device","8821283674927730745","MUSIC_AND_AUDIO",,"Teen",true,,1553286037000,"Varies with device","Manually download your favorite podcast episodes and listen to them without a data connection.","com.clearchannel.iheartradio.controller","https://play.google.com/store/apps/details?id=com.clearchannel.iheartradio.controller&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Amazon Music","Find and play music you love – get the free Amazon Music app.","100,000,000+",100000000,4.311676,1188304,409944,true,false,"Varies with device","Varies with device","Amazon+Mobile+LLC","MUSIC_AND_AUDIO",,"Teen",false,,1552590145000,"Varies with device","You can now cast to your Alexa devices. Use your phone to play, skip, shuffle, and more on Alexa and Chromecast devices.","com.amazon.mp3","https://play.google.com/store/apps/details?id=com.amazon.mp3&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Amazon Alexa","ALWAYS READY, CONNECTED, AND FAST. Just ask.","10,000,000+",10000000,3.4406283,68046,33155,true,false,"Varies with device","Varies with device","Amazon+Mobile+LLC","MUSIC_AND_AUDIO",,"Everyone",false,"Nov 17, 2014",1552597054000,"Varies with device","Various bug fixes and performance improvements.","com.amazon.dee.app","https://play.google.com/store/apps/details?id=com.amazon.dee.app&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Apple Music","50 million songs. All ad-free.","10,000,000+",10000000,3.4713295,282085,114146,true,false,"43M","4.3 and up","Apple+Inc.","MUSIC_AND_AUDIO",,"Teen",false,"Nov 10, 2015",1550510467000,"2.7.1","This update includes minor app and performance improvements.","com.apple.android.music","https://play.google.com/store/apps/details?id=com.apple.android.music&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"SoundCloud - Music & Audio","The world’s largest audio and music streaming platform, with over 150M tracks","100,000,000+",100000000,4.5072956,3983988,1021498,true,false,"26M","4.4 and up","SoundCloud","MUSIC_AND_AUDIO",,"Teen",true,"Dec 21, 2010",1552299202000,"2019.03.04-release",,"com.soundcloud.android","https://play.google.com/store/apps/details?id=com.soundcloud.android&hl=en&gl=us"
