"appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Pandora Music","Play new music &amp; podcasts for free and personalize your streaming experience!","100,000,000+",100000000,4.416778,3043654,733559,true,true,"Varies with device","Varies with device","Pandora","MUSIC_AND_AUDIO",,"Teen",true,,1554163645000,"Varies with device","Podcasts on Pandora have arrived: <br>•  Discover your new favorite podcast or start with one from our curators.<br>•  Enjoy personalized recommendations based on your listening history.<br>•  Search and play over 100,000+ podcast episodes, with more being added every day.","com.pandora.android","https://play.google.com/store/apps/details?id=com.pandora.android&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Spotify - Music and Podcasts","Spotify gives you instant access to millions of songs and podcasts.","100,000,000+",100000000,4.5694046,14629416,4421205,true,false,"Varies with device","Varies with device","Spotify+Ltd.","MUSIC_AND_AUDIO",,"Teen",true,"May 27, 2014",1553848632000,"Varies with device","We’re always making changes and improvements to Spotify. To make sure you don’t miss a thing, just keep your Updates turned on.","com.spotify.music","https://play.google.com/store/apps/details?id=com.spotify.music&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"YouTube Music - Stream Songs & Music Videos","The official YouTube app built just for music.","100,000,000+",100000000,4.0956516,528751,188605,true,false,"Varies with device","Varies with device","5700313618786177705","MUSIC_AND_AUDIO",,"Teen",true,"Nov 12, 2015",1554145289000,"Varies with device","YouTube Music has been completely redesigned. Quickly find the music you’re looking for and get music served to you based on what’s right for the moment you’re in. Want to listen without interruptions? Get 1 free month of Music Premium to listen ad-free, offline, and with your screen locked.","com.google.android.apps.youtube.music","https://play.google.com/store/apps/details?id=com.google.android.apps.youtube.music&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Free Music Player – Online & Offline MP3 Player","The best free Android music player! Listen to online &amp; offline music!","1,000,000+",1000000,3.9540167,14788,8154,true,false,"7.8M","4.0.3 and up","AURORA+STUDIO","MUSIC_AND_AUDIO",,"Teen",true,"Feb 5, 2018",1553857084000,"1.7.7","-Optimized music player performance<br>-Fixed some minor bugs<br>-Improve music player stability","com.aurora.music","https://play.google.com/store/apps/details?id=com.aurora.music&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Drum Pad Machine - Make Beats","Be a true rapper and create beats music. This dj app is a perfect music mixer","10,000,000+",10000000,4.459954,265392,105376,true,true,"27M","4.1 and up","7473634688510685864","MUSIC_AND_AUDIO",,"Everyone",true,"Aug 31, 2014",1553698503000,"2.0.360","- Performance and stability improvements<br><br>Be a beat maker with Drum Pad Machine!","com.agminstruments.drumpadmachine","https://play.google.com/store/apps/details?id=com.agminstruments.drumpadmachine&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"iHeartRadio - Free Music, Radio & Podcasts","Your Music. Your Stations. Your Podcasts. All Free.","50,000,000+",50000000,4.66117,1997387,610871,true,true,"Varies with device","Varies with device","8821283674927730745","MUSIC_AND_AUDIO",,"Teen",true,,1554145466000,"Varies with device","Bug fixes and performance improvements","com.clearchannel.iheartradio.controller","https://play.google.com/store/apps/details?id=com.clearchannel.iheartradio.controller&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Amazon Music","Find and play music you love – get the free Amazon Music app.","100,000,000+",100000000,4.3139014,1198436,414890,true,false,"Varies with device","Varies with device","Amazon+Mobile+LLC","MUSIC_AND_AUDIO",,"Teen",false,,1552590145000,"Varies with device","You can now cast to your Alexa devices. Use your phone to play, skip, shuffle, and more on Alexa and Chromecast devices.","com.amazon.mp3","https://play.google.com/store/apps/details?id=com.amazon.mp3&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Amazon Alexa","ALWAYS READY, CONNECTED, AND FAST. Just ask.","10,000,000+",10000000,3.4433692,69132,33782,true,false,"Varies with device","Varies with device","Amazon+Mobile+LLC","MUSIC_AND_AUDIO",,"Everyone",false,"Nov 17, 2014",1554150004000,"Varies with device","Various bug fixes and performance improvements.","com.amazon.dee.app","https://play.google.com/store/apps/details?id=com.amazon.dee.app&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Apple Music","50 million songs. All ad-free.","10,000,000+",10000000,3.4657211,284520,115785,true,false,"43M","Varies with device","Apple+Inc.","MUSIC_AND_AUDIO",,"Teen",false,"Nov 10, 2015",1553936587000,"Varies with device","The latest update includes:<br>• Support for Chromebooks.<br>• More editorial highlights in Browse, making it easier to discover new music, playlists, and more.<br>• Various bug fixes, including an issue where the app may unexpectedly close or fail to load after an upgrade for some users.","com.apple.android.music","https://play.google.com/store/apps/details?id=com.apple.android.music&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"SoundCloud - Music & Audio","The world’s largest audio and music streaming platform, with over 150M tracks","100,000,000+",100000000,4.5074787,3992861,1025801,true,false,"26M","4.4 and up","SoundCloud","MUSIC_AND_AUDIO",,"Teen",true,"Dec 21, 2010",1553625680000,"2019.03.04-release",,"com.soundcloud.android","https://play.google.com/store/apps/details?id=com.soundcloud.android&hl=en&gl=us"
