"appTitle","userName","date","score","text"
"Ball Mayhem!","king james","March 24, 2019",5,"its all good man!"
"Ball Mayhem!","","March 24, 2019",1,"When you get the ball by yourself you get no support. Plus when our teammate get the ball they have a whole Squad behind them. And the other opponent gets the ball it's a g g cuz they be running 1000 miles per hour like they got no chill. And finally when you straight up behind them chasing them he decides to start walking like it is he just ate 1000 burgers before playing football. Do not recommend this do do game to anybody."
"Ball Mayhem!","","March 24, 2019",5,"cool"
"Ball Mayhem!","arman sharify","March 24, 2019",5,"Good"
"Ball Mayhem!","Kelilah 2","March 24, 2019",1,"dont install its a scam so that you cant install games it is terrible. restart your phone if you decided to install the thing if it doesnt work. IT IS👎👎👎👎🕸🕷🕸🕸🕸🕷🕸🕷🕷🕷🦂🦂🦂☢☢☢☢☢☢☣☣☣☣❎❎❎❎❎‼‼‼‼‼💩💩💩💩💩💩💩👿👿👿👿👺👺👺"
"Ball Mayhem!","Kyle Ellis","March 24, 2019",1,"it was horrible the enemies are way to fast and they are so good at the first part im only on the 2nd game its been almost 20 min."
"Ball Mayhem!","","March 24, 2019",5,"ggsgdueodutw72iwydue7e7shhxhd9f9fj geyruuduxuxyhyssy ud FCC FCC g funding tyuyry ud duh hey ydydyddy gf gf gf HD fff"
"Ball Mayhem!","","March 24, 2019",1,"you made the worst game ever. I'm not trying to be rude."
"Ball Mayhem!","","March 24, 2019",5,"great game have got all skins balls background and dances love the game good grafics.do dowlaod keep making games like this!😀"
"Ball Mayhem!","","March 24, 2019",5,"it's legendary please make more games like this"
"Ball Mayhem!","Jesse Johns","March 24, 2019",1,"not leting me move!!!!!!!!!"
"Ball Mayhem!","Brody Semrau","March 24, 2019",1,"Honestly I would give it a five but the thing I absolutely hate is that the CPU on enemy team has 9000 IQ and the CPU on my team 0 IQ."
"Ball Mayhem!","Bu","March 24, 2019",5,"it is fun because it is not to hard and not to easy"
"Ball Mayhem!","Ehrick J","March 24, 2019",3,"laggy but ok"
"Ball Mayhem!","Marlene Greenwood","March 24, 2019",5,"it's the best game ever I would definitely recommend it to everyone even if your not good at sports it's still a really good game"
"Ball Mayhem!","","March 24, 2019",1,"this game is super hard and you run slower with the ball grrr"
"Ball Mayhem!","Kieran Grant","March 24, 2019",5,"I Love it"
"Ball Mayhem!","","March 24, 2019",5,"Ok"
"Ball Mayhem!","Wan Amaluddin","March 24, 2019",1,"zero star hate this game not even fair dont know how to make game Fuck away idiot"
"Ball Mayhem!","","March 24, 2019",5,"You need to sort out your game it is always lagging out on me and my storage is fine I have even checked with my parents and they don't know what to do my friends game is really good no lagging no nothing so please sought it out I don't want to delete the game"
"Ball Mayhem!","","March 24, 2019",5,"amazing game I love it"
